datasetId,archiveType,dataSetName,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
iso2k_1645,GlacierIce,IC15MANE,2450.0,77.44999694824219,-51.060001373291016,NEEM,positive,Annual,temperature,air@surface,this compilation,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1653,LakeSediment,LS06TIST,415.0,46.0,-94.69999694824219,Steel,positive,N/A,N/A,"Original interpretation_variable: circulationIndex, interpretation_variableDetail: lake water",https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:8647,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS); archiveType changed - was originally Lake sediment (LS),d18O,nan,permil,d18O,CE
iso2k_1658,GlacierIce,IC09OPAN,750.0,80.5199966430664,94.81999969482422,Akademii Nauk,positive,Annual,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.871279,Iso2k v1.1.2,nan,dD,nan,permil,d2H,CE
iso2k_1660,GlacierIce,IC09OPAN,750.0,80.5199966430664,94.81999969482422,Akademii Nauk,positive,Annual,temperature,air@surface,https://doi.pangaea.de/10.1594/PANGAEA.871279,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_1690,GlacierIce,IC14EKVK,3488.0,-78.47000122070312,106.83000183105469,Vostok composite VRS13 ( a stack of 15 individual isotopic records from snow pits and shallow cores recovered in the vicinity of Vostok Station),positive,Nov-Jan,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22532,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),dD,nan,permil,d2H,CE
iso2k_1695,LakeSediment,LS14YAHA,4078.0,38.29999923706055,97.58000183105469,Hala Lake,negative,N/A,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: lake water",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS); archiveType changed - was originally Lake sediment (LS),d18O,nan,permil,d18O,CE
iso2k_1698,LakeSediment,LS14YAHA,4078.0,38.29999923706055,97.58000183105469,Hala Lake,N/A,N/A,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: lake water",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS); archiveType changed - was originally Lake sediment (LS),d18O,nan,permil,d18O,CE
iso2k_1701,Coral,CO04PFCH,-1.7999999523162842,-5.429999828338623,71.7699966430664,Peros Banhos Atoll,decrease/increase,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1891,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_1704,Coral,CO04PFCH,-1.7999999523162842,-5.429999828338623,71.7699966430664,Peros Banhos Atoll,N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/1891,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_1708,GlacierIce,IC12MUJR,1542.0,-64.19999694824219,-57.689998626708984,James Ross Island,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/13954,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),dD,nan,permil,d2H,CE
