archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature,air@surface,Asia-10GKP,pages2k_Asia_079,100.0,27.58,99.35,CHIN037,https://www.ncdc.noaa.gov/paleo/study/14888,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
coral,temperature,sea@surface,Ocean2kHR-AtlanticFloridaBaySwart1996,pages2k_Ocean2kHR_116,-3.0,24.93,-80.75,Florida Bay,http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:0::::P1_STUDY_ID:1886,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally bimonthly,d18O,bournoni,permil,CE
marine sediment,temperature,sea@surface,O2kLR-CariacoBasin.Lea.2003,pages2k_LPDcda1c277,-790.0,10.7,-64.94,Cariaco Basin/Southern Caribbean Sea,http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:2567749405070175::::P1_STUDY_ID:2585,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally Annual,foram Mg/Ca,N/A,degC,CE
tree,temperature,air@surface,Asia-UKHEWD,pages2k_Asia_021,1750.0,50.15,85.37,"Altai Mt., Ust Koksa Hill",https://www.ncdc.noaa.gov/paleo/study/4707,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-ZHD,pages2k_Asia_100,3500.0,33.72,96.28,CHIN066,https://www.ncdc.noaa.gov/paleo/study/15158,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-ca560,pages2k_NAm_760,3000.0,37.8,-119.3,Yosemite Park   E Eingang,https://www.ncdc.noaa.gov/paleo/study/2862,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PICO,N/A,CE
tree,temperature,air@surface,NAm-cana378,pages2k_NAm_1972,1450.0,61.4,-128.4,Rock Glacier Yukon,"https://www.ncdc.noaa.gov/cdo/f?P=519:1:::::P1_STUDY_ID,P1_SITE_ID:15520,55748",PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,ABLA,N/A,CE
marine sediment,temperature,sea@surface,O2kLR-NorthIceland.Sicre.2011,pages2k_O2kLR_045,-470.0,66.55,-17.42,North Iceland/North Atlantic,http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:12359,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),"PRA1988: E. huxleyi culture-based calibration. No RMSE is reported in the original publication, so a RMSE was calculated by taking a regression off of the five culture T-UK37 datapoints reported in the publication.; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally JJA",alkenone,N/A,degC,CE
tree,temperature,air@surface,Asia-Ulagan.Magda.2011,pages2k_Asia_010,1300.0,50.68,87.97,"Altai Mt., Ulagan Valley",https://www.ncdc.noaa.gov/paleo/study/15351,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
lake sediment,temperature,lake@surface,Arc-Kongressvatn.DAndrea.2012,pages2k_Arc_078,94.0,78.0217,13.9311,Kongressvatnet,https://www.ncdc.noaa.gov/paleo/study/13458,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally 6/7/2008; climateInterpretation_seasonality changed - was originally 6/7/2008,alkenone,N/A,degC,CE
tree,temperature,air@surface,NAm-ak006,pages2k_NAm_088,750.0,63.7,-149.6,Denali National Park,https://www.ncdc.noaa.gov/paleo/study/4397,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PCGL,N/A,CE
tree,temperature,air@surface,Asia-GHEGAN,pages2k_Asia_047,1750.0,37.93,101.53,GHEGAN,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-QML,pages2k_Asia_093,3400.0,33.8,96.13,CHIN059,https://www.ncdc.noaa.gov/paleo/study/15151,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-ca637,pages2k_NAm_880,3519.0,36.4,-118.2,Upper Wright Lakes,https://www.ncdc.noaa.gov/paleo/study/3335,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PIBA,N/A,CE
tree,temperature,air@surface,Asia-MQFXJP,pages2k_Asia_054,700.0,34.75,99.68,MQFXJP,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-MSFCDD,pages2k_Asia_206,3600.0,35.5,74.08,PAKI031,https://www.ncdc.noaa.gov/paleo/study/15327,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
marine sediment,temperature,sea@surface,O2kLR-FiskBasin.Richey.2009,pages2k_LPD57d40973,-817.0,27.55,-93.93,"Fisk Basin, Gulf of Mexico",https://www.ncdc.noaa.gov/cdo/f?p=519:1:784943880673501::::P1_STUDY_ID:10492,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally Annual,foram Mg/Ca,N/A,degC,CE
glacier ice,temperature,air@condensationLevel,Arc-NGRIP1.Vinther.2006,pages2k_Arc_031,2917.0,75.1,-42.32,NGRIP1,https://www.ncdc.noaa.gov/paleo/study/2494,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; archiveType changed - was originally ice core,d18O,N/A,permil,CE
tree,temperature,air@surface,Asia-TIANMU,pages2k_Asia_065,3539.0,30.33,119.43,TIANMU,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
marine sediment,temperature,sea@surface,O2kLR-CH07-98-MC-2.Saenger.2011,pages2k_LPDa03ec713,-1895.0,32.784,-76.276,"CH07-98-MC-22, Carolina Slope, western North Atlantic",http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:3800011116671332::::P1_STUDY_ID:11816,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally Annual,foram Mg/Ca,N/A,degC,CE
tree,temperature,air@surface,NAm-ak078,pages2k_NAm_364,1040.0,61.3,-142.7,Big Bend Lake,https://www.ncdc.noaa.gov/paleo/study/3587,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCGL,N/A,CE
tree,temperature,air@surface,Asia-Korumdu.Panyushkina.2005,pages2k_Asia_007,2200.0,50.14,87.72,"Altai Mt., Korumdu Valley",https://www.ncdc.noaa.gov/paleo/study/15348,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-ULKEPS,pages2k_Asia_134,4300.0,43.35,77.35,KAZ001,https://www.ncdc.noaa.gov/paleo/study/15230,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-GHURCH,pages2k_Asia_172,6400.0,29.47,82.12,NEPA019,https://www.ncdc.noaa.gov/paleo/study/3778,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
