archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature,air@surface,Arc-GulfofAlaska.Wiles.2014,pages2k_Arc_007,230.0,61.03,-146.59,Gulf of Alaska,https://www.ncdc.noaa.gov/paleo/study/19743,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,degC,CE
coral,temperature,sea@surface,Ocean2kHR-PacificClippertonClippf1bWu2014,pages2k_Ocean2kHR_189,-13.0,10.2773,-109.2131,Clipperton,https://www.ncdc.noaa.gov/paleo/study/17380,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally monthly; paleoData_variableName changed - was originally Sr_Ca,Sr/Ca,Porites lobata,mmol/mol,CE
coral,temperature,sea@surface,Ocean2kHR-PacificClippertonClippf1bWu2014,pages2k_Ocean2kHR_188,-13.0,10.2773,-109.2131,Clipperton,https://www.ncdc.noaa.gov/paleo/study/17380,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally monthly,d18O,Porites lobata,permil,CE
tree,temperature,air@surface,Asia-Kur3.Magda.2011,pages2k_Asia_005,1650.0,50.27,87.83,"Altai Mt., Kuraisky Steppe",https://www.ncdc.noaa.gov/paleo/study/15346,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
documents,temperature,air@surface,Eur-Tallinn.Tarand.2001,pages2k_Eur_026,10.0,59.4,24.75,Tallinn,https://doi.org/10.6084/m9.figshare.c.3285353.v2,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,historic,N/A,degC,CE
coral,temperature,sea@surface,Ocean2kHR-AtlanticBermudaKuhnert2005,pages2k_Ocean2kHR_105,-12.0,32.467,-64.7,"North East Breakers, Bermuda",http://doi.pangaea.de/10.1594/PANGAEA.738188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally monthly,d18O,Diploria strigosa,permil,CE
coral,temperature,sea@surface,Ocean2kHR-AtlanticBermudaKuhnert2005,pages2k_Ocean2kHR_106,-12.0,32.467,-64.7,"North East Breakers, Bermuda",http://doi.pangaea.de/10.1594/PANGAEA.738188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally monthly; paleoData_variableName changed - was originally Sr_Ca,Sr/Ca,Diploria strigosa,mmol/mol,CE
marine sediment,temperature,sea@surface,O2kLR-FeniDriftRichter.2009,pages2k_LPD47182517,-2543.0,55.5,-13.9,Feni Drift,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/richter2009/richter2009.txt,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally AMJJ,foram Mg/Ca,N/A,degC,CE
coral,temperature,sea@surface,Ocean2kHR-IndianIfatyTulearZinke2014if4,pages2k_Ocean2kHR_020,-1.1,-23.15,43.58,Ifaty,https://www.ncdc.noaa.gov/paleo/study/16438,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally monthly,d18O,NaN,permil,CE
glacier ice,temperature,air@condensationLevel,SAm-QuelccayaIce.Thompson.2013,pages2k_SAm_035,5670.0,-13.9333,-70.8333,Quelccaya Ice Cap,https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14174,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally d18OiceSMOW; paleoData_units changed - was originally per mil SMOW; climateInterpretation_seasonality changed - was originally austral winter; archiveType changed - was originally ice core,d18O,N/A,permil,CE
